Frage;Wahl_A;Wahl_B;Wahl_C;Wahl_D;Wahl_E;Antwort;Module;Language;Tags;Year;Answer Verfication;Expanded Date Info;Notes;Explanation;Entry ID;
The transport of D-glucose through the erythrocyte membrane is an example of:; primary active transport; facilitated dissemination; simple dissemination; secondary active transport; endocytosis; facilitated dissemination;Biochemistry;EN;Set K - [Large Italian Question Bank Part 1] - [126Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-100;
The activity of chimotrpsin is inhibited by diisopropylfluorophosphate (DFP). Which residueamino acid, present in the active site, is involved in the inhibition mechanism?;lysine;glutamic acid;serine;thyroxine;None of the above ;serine;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1000;
Trypsin activity is inhibited by diisopropylfluorophosphate (DFP). Which residue amino acid, present in the active site, is involved in the inhibition mechanism?;lysine;glutamic acid;serine;thyroxine;none of these ;serine;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1001;
Indicate the correct statement. The membrane receptors associated with heterotrimeric G protein are:;Single helix receptors with intrinsic cyclase adenyl activity;Helix shower receptors with intrinsic cyclase adenyl activity;Four-helical receptors with can mediate phospholipase A2 activation;Seven-helical receptors that can mediate the activation of adenyl cyclase and phospholipase C;Single helix receptors that mediate the activation of guanylic cyclase;Seven-helical receptors that can mediate the activation of adenyl cyclase and phospholipase C;Biochemistry;EN;Set D - [20 Qs, Translated, 29/10/10];2010;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1002;
A patient presenting a clinical picture characterised by an arterial pCO<sub>2</sub> of 25 mmHg, a pH of 7.6 and 24.5 mEq/litre of bicarbonates of which type of alteration of the acid-base balance is affected?;modest respiratory alkalosis (slight hyperpne;alkalosis of both respiratory and metabolic origin;uncompensated metabolic alkalosis;respiratory alkalosis compensated by metabolic acidosis;severe respiratory alkalosis (patient undergoing artificial respiration).;severe respiratory alkalosis (patient undergoing artificial respiration).;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400–776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1003;
Splicing of heterogeneous RNA (hnRNA) is carried out by RNA polymerase in synergy with:;snRNA (small nuclear RNAs);snRNA and ribonucleoproteins;tRNA;ribonucleoprotein;none of the above ;snRNA and ribonucleoproteins;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1004;
An excess of aldosterone causes:;sodium and water retention;increased sodium concentration in the urine;hyperkalaemia;decreased blood flow in the urine;none of the above;sodium and water retention;Biochemistry;EN;Set C - [20 Qs, Translated 16/12/11];2011;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1005;
In a gamma-counter the scintillation process takes place through a crystal of a salt binary. Which?;sodium chloride;sodium iodide;magnesium iodide;magnesium chloride;None of the above ;sodium iodide;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1006;
Which of the following amino acids falls within the group of essential amino acids?;spartic acid;alanine;glycine;methionine;arginine;spartic acid;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400–776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1007;
Give the wrong answer. The degradation signal through the ubiquitin are:;Post-translational modifications;Misfolding;Oxidative damage;Specific amino acids at the carboxy-terminus;"Presence of ""destruction box""";Specific amino acids at the carboxy-terminus;Biochemistry;EN;Set A [35 Qs - Midterm, Date Unknown];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1008;
Which of the following considerations on spectrophotometry is true?;spectrophotometry allows obtaining the concentration of a solute from the extent of its extinction;the extinction value measured for a substance is not influenced by the presence of other substances;a light radiation having a wavelength of 500 nm is found in the ultraviolet;the molar extinction coefficient of a substance depends on its concentration;a light radiation having a wavelength of 180 nm is in the visible.;spectrophotometry allows obtaining the concentration of a solute from the extent of its extinction;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400–776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1009;
The transport of D-glucose through the erythocyte membrane is an example of:; simple distribution; primary active transport; facilitated dissemination; secondary active transport; endocytosis ; facilitated dissemination;Biochemistry;EN;Set L - [Large Italian Question Bank Part 2] [151–399] [249Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-101;
Which of the following statements regarding aldosterone is false?;aldosterone is a mineralocorticoid produced by the glomerular area of the adrenal cortex;aldosterone is a steroid hormone that acts on the sodium-potassium pump;the aldosterone receptors are located on the cytoplasm and in the nucleus;the secretion of aldosterone is stimulated by angiotensin II;spironolactone has a sodium-retentive and potassium-expulsive effect.;spironolactone has a sodium-retentive and potassium-expulsive effect.;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400–776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1010;
What function has the polyadenylation of heterogeneous RNA (hnRNA)?;Allow the separation of mRNA on poles of columns (dT);Stabilize and protect the hernia from degradation;Promote splicing of the hernia;Facilitate the transport of the nRNA from the nucleus to the cytosol;None of the above ;Stabilize and protect the hernia from degradation;Biochemistry;EN;Set N - [Large Italian Question Bank Section B] - [210Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1011;
The pasteurization technique (treatment at high temperatures for short times) allows conservation of foods because:;stabilizes the pH;denature the enzymatic proteins responsible for their degradation;increases the speed of enzymatic reactions, and not during food storage;denature the coenzymes;oxidizes heavy metals in the enzymes in which they are contained.;stabilizes the pH;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400–776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1012;
Indicate which of the following products contained in the food has no nutritional meaning:;starch;cellulose;lactose;dextrins;sucrose;starch;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400–776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1013;
Insulin:;stimulates glycogen synthesis and lithogenesis;represses glycogen synthesis and lithogenesis;activates gluconeogenesis;stimulates glycogenolysis and lipolysis;stimulates the uraogenesis.;stimulates glycogen synthesis and lithogenesis;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400–776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1014;
Which of the following considerations on aldosterone is false?;it is a hormone of the adrenal cortex;is formed from cholesterol;stimulates renal elimination of sodium;its increase is regulated by angiotensin II;its receptor is located in the cytoplasm of the target cell.;stimulates renal elimination of sodium;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400–776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1015;
Adrenocorticotropic hormone (ACTH):;stimulates the adrenal cortex to produce glucocorticoids;it is of a steroid nature;it is synthesised in the neurohypophysis;increases the production of adrenaline;promotes the mobilisation of calcium from the bones.;stimulates the adrenal cortex to produce glucocorticoids;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400–776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1016;
Gastrin hormone plays an important role in the digestive process at the gastric level. This hormone:;stimulates the secretion of bicarbonate ions;activates the transformation of trypsinogen into trypsin;stimulates the secretion of hydrochloric acid;activates the intestinal enterocinase;reduces the synthesis of carboxypeptidase.;stimulates the secretion of hydrochloric acid;Biochemistry;EN;Set M - [Large Italian Question Bank Part 3] [400–776] [376Qs];Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1017;
Beta-adrenergic receptors are coupled to:;stimulation of adenylate cyclase through Gs;inhibition of adenylate cyclase through Gi;stimulation of guanylate cyclase through Gs;stimulation of adenylate cyclase through Gi;none of the above;stimulation of adenylate cyclase through Gs;Biochemistry;EN;Set C - [20 Qs, Translated 16/12/11];2011;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1018;
A low insulin / glucagon ratio induces:;stimulation of the hormone-sensitive lipase;increase in the synthesis of pyruvate kinase;the dephosphorylation of enzymes regulated by covalent modifications;protein synthesis;the deposition of triglycerides in adipocytes;stimulation of the hormone-sensitive lipase;Biochemistry;EN;Set C - [20 Qs, Translated 16/12/11];2011;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-1019;
